id,retweet_count,favorite_count
892420643555336193,8359,38184
892177421306343426,6174,32738
891815181378084864,4085,24655
891689557279858688,8501,41508
891327558926688256,9194,39685
891087950875897856,3060,19926
890971913173991426,2028,11651
890729181411237888,18542,64401
890609185150312448,4199,27373
890240255349198849,7260,31420
890006608113172480,7210,30208
889880896479866881,4891,27374
889665388333682689,9880,47377
889638837579907072,4470,26747
889531135344209921,2207,14880
889278841981685760,5280,24862
888917238123831296,4417,28656
888804989199671297,4223,25172
888554962724278272,3490,19530
888078434458587136,3439,21427
887705289381826560,5297,29713
887517139158093824,11471,45577
887473957103951883,17862,68020
887343217045368832,10231,33175
887101392804085760,5868,30111
886983233522544640,7639,34619
886736880519319552,3226,11874
886680336477933568,4392,22096
886366144734445568,3145,20871
886267009285017600,4,116
886258384151887873,6181,27562
886054160059072513,105,0
885984800019947520,6680,32164
885528943205470208,6326,35437
885518971528720385,3700,20119
885311592912609280,18259,0
885167619883638784,4308,21590
884925521741709313,17986,76299
884876753390489601,5553,27505
884562892145688576,4652,23939
884441805382717440,5563,26586
884247878851493888,20134,71921
884162670584377345,2941,20058
883838122936631299,3391,21575
883482846933004288,9788,45220
883360690899218434,3640,22345
883117836046086144,6569,36634
882992080364220416,3861,23612
882762694511734784,4842,27891
882627270321602560,5994,27501
882268110199369728,11415,44297
882045870035918850,4894,28934
881906580714921986,3342,23968
881666595344535552,10502,49847
881633300179243008,7,124
881536004380872706,15698,48710
881268444196462592,5090,22747
880935762899988482,2742,16763
880872448815771648,3755,20958
880465832366813184,6177,28105
880221127280381952,4153,26667
880095782870896641,4292,27232
879862464715927552,3445,21999
879674319642796034,10,308
879492040517615616,3139,23086
879415818425184262,43584,104340
879376492567855104,3070,16539
879130579576475649,6728,0
879050749262655488,4651,22234
879008229531029506,2657,18710
878776093423087618,4075,19133
878604707211726852,7103,29844
878404777348136964,1270,0
878316110768087041,6565,0
878281511006478336,1270,7641
878057613040115712,6728,41443
877736472329191424,18836,78670
877611172832227328,80,0
877556246731214848,3758,22409
877316821321428993,5106,26996
877201837425926144,5515,26752
876838120628539392,3301,20402
876537666061221889,4576,23187
876484053909872640,2368,18508
876120275196170240,4636,27544
875747767867523072,4245,24854
875144289856114688,4872,21635
875097192612077568,5982,27066
875021211251597312,4667,25149
874680097055178752,4600,27477
874434818259525634,14595,0
874296783580663808,4071,25736
874057562936811520,3921,22370
874012996292530176,10323,34173
873580283840344065,3912,23915
873337748698140672,1576,0
873213775632977920,1576,7146
872967104147763200,5367,27057
872820683541237760,3668,14552
872620804844003328,3674,20576
872486979161796608,8964,40253
872261713294495745,6285,33847
872122724285648897,8082,34091
871879754684805121,11122,37619
871762521631449091,3461,20084
871515927908634625,3441,20033
871166179821445120,5683,0
871102520638267392,5489,20756
871032628920680449,3809,22480
870804317367881728,6189,33344
870726314365509632,3,119
870656317836468226,2640,12334
870374049280663552,26197,82150
870308999962521604,4151,21696
870063196459192321,8349,36438
869772420881756160,10039,42169
869702957897576449,6357,28091
869596645499047938,3138,15897
869227993411051520,3793,20338
868880397819494401,14531,65385
868639477480148993,2105,0
868622495443632128,5399,26749
868552278524837888,2105,10102
867900495410671616,4202,24139
867774946302451713,7377,33943
867421006826221569,2524,16095
867072653475098625,121,0
867051520902168576,7922,32219
866720684873056260,4852,20076
866686824827068416,3516,19337
866450705531457537,35580,122343
866334964761202691,14595,52645
866094527597207552,8456,0
865718153858494464,5674,25673
865359393868664832,5056,26542
865006731092295680,7771,28086
864873206498414592,8807,32385
864279568663928832,3076,14678
864197398364647424,9061,30281
863907417377173506,4203,20715
863553081350529029,4234,15378
863471782782697472,2490,0
863432100342583297,5342,23941
863427515083354112,99,2277
863079547188785154,1118,8815
863062471531167744,2490,8577
862831371563274240,5170,19286
862722525377298433,3583,17174
862457590147678208,5039,20683
862096992088072192,23700,75076
861383897657036800,10895,36350
861288531465048066,4234,17328
861005113778896900,3871,16842
860981674716409858,2199,0
860924035999428608,838,0
860563773140209665,2199,7573
860524505164394496,5385,23844
860276583193509888,3549,18476
860184849394610176,5961,16850
860177593139703809,31541,0
859924526012018688,4187,19747
859851578198683649,3587,15565
859607811541651456,1610,18794
859196978902773760,30935,91005
859074603037188101,13937,34286
858860390427611136,8348,0
858843525470990336,3561,15724
858471635011153920,4974,21769
858107933456039936,2995,15920
857989990357356544,2648,16340
857746408056729600,10933,34747
857393404942143489,1690,5994
857263160327368704,4656,20300
857214891891077121,18,232
857062103051644929,177,0
857029823797047296,4124,19231
856602993587888130,11023,0
856543823941562368,2969,16522
856526610513747968,1940,12027
856330835276025856,701,0
856288084350160898,17,526
856282028240666624,6525,28200
855862651834028034,28,352
855860136149123072,1063,5124
855857698524602368,2184,12065
855851453814013952,18308,46256
855818117272018944,5616,27098
855459453768019968,8510,30527
855245323840757760,6203,0
855138241867124737,47,0
854732716440526848,6348,23332
854482394044301312,7144,29973
854365224396361728,4879,19336
854120357044912130,7802,32718
854010172552949760,3289,16589
853760880890318849,6054,29300
853639147608842240,10585,35755
853299958564483072,3733,15937
852936405516943360,2104,0
852912242202992640,1922,9306
852672615818899456,2259,15337
852553447878664193,3685,16831
852311364735569921,10367,34071
852226086759018497,7132,20586
852189679701164033,1665,11804
851953902622658560,10121,0
851861385021730816,23,0
851591660324737024,3647,16708
851464819735769094,7436,25037
851224888060895234,6017,21350
850753642995093505,9776,32047
850380195714523136,2757,13501
850333567704068097,352,3544
850145622816686080,4037,16878
850019790995546112,5166,21154
849776966551130114,8022,31525
849668094696017920,5237,0
849412302885593088,3317,16440
849336543269576704,1993,11827
849051919805034497,9008,44016
848690551926992896,4566,26133
848324959059550208,4870,25670
848213670039564288,788,8474
848212111729840128,3254,16940
847978865427394560,3449,0
847971574464610304,454,0
847962785489326080,5404,24408
847842811428974592,1423,5690
847617282490613760,450,7283
847606175596138505,3598,19509
847251039262605312,4558,21257
847157206088847362,6214,20754
847116187444137987,3395,22278
846874817362120707,4171,20895
846514051647705089,12327,46480
846505985330044928,3286,14699
846153765933735936,9636,33011
846139713627017216,10490,32150
846042936437604353,3078,16656
845812042753855489,9306,30538
845677943972139009,5088,26158
845397057150107648,1926,7961
845306882940190720,5742,24316
845098359547420673,8167,0
844979544864018432,2752,14221
844973813909606400,3425,15773
844704788403113984,11023,40418
844580511645339650,3353,17198
844223788422217728,2343,14238
843981021012017153,3119,15800
843856843873095681,4939,22353
843604394117681152,2943,17647
843235543001513987,6458,22463
842846295480000512,3843,15905
842765311967449089,1360,7057
842535590457499648,3743,18927
842163532590374912,6203,25613
842115215311396866,3242,14660
841833993020538882,16408,0
841680585030541313,8296,26839
841439858740625411,3927,13226
841320156043304961,5813,20678
841314665196081154,5024,16576
841077006473256960,5683,23980
840761248237133825,1878,0
840728873075638272,17346,0
840698636975636481,2,187
840696689258311684,1048,12888
840632337062862849,1878,9410
840370681858686976,4882,17261
840268004936019968,6146,20215
839990271299457024,2464,14085
839549326359670784,8348,28891
839290600511926273,154,0
839239871831150596,7021,28566
838952994649550848,4263,20596
838921590096166913,2231,11731
838916489579200512,36,0
838831947270979586,11882,0
838561493054533637,1423,11468
838476387338051585,5179,23743
838201503651401729,10847,0
838150277551247360,354,1770
838085839343206401,0,149
838083903487373313,3392,18540
837820167694528512,8456,35943
837482249356513284,476,4032
837471256429613056,2467,13457
837366284874571778,5700,22230
837110210464448512,2577,16854
836989968035819520,2472,13394
836753516572119041,4973,20233
836677758902222849,2392,13270
836648853927522308,591,0
836397794269200385,29769,0
836380477523124226,3186,15493
836260088725786625,4625,22390
836001077879255040,4626,20126
835685285446955009,8796,0
835574547218894849,3907,18740
835536468978302976,1839,0
835309094223372289,22680,0
835297930240217089,3230,17290
835264098648616962,1839,8162
835246439529840640,78,2202
835172783151792128,6193,27535
835152434251116546,3254,23660
834931633769889797,1783,11421
834786237630337024,5913,22292
834574053763584002,2735,14436
834477809192075265,11527,0
834458053273591808,1810,10140
834209720923721728,5169,21727
834167344700198914,3927,16618
834089966724603904,2292,10588
834086379323871233,2398,13781
833863086058651648,2600,14135
833826103416520705,3718,16185
833732339549220864,233,0
833722901757046785,3469,21834
833479644947025920,2238,15684
833124694597443584,5237,21301
832998151111966721,2398,14035
832769181346996225,40,0
832757312314028032,3921,17758
832682457690300417,3175,12538
832645525019123713,563,3083
832636094638288896,3031,16752
832397543355072512,2406,12613
832369877331693569,3449,18122
832273440279240704,2523,11940
832215909146226688,6701,0
832215726631055365,10163,0
832088576586297345,2,70
